name_&_model,price
"Audi Q8 • 2021 • 49,000 km","40,990"
"Audi SQ5 • 2020 • 40,000 km","20,900"
"Audi Q3 • 2017 • 40,696 km","12,900"
"Audi Q5 • 2017 • 112,000 km","12,000"
Audi RS Q8 • 2022 • 15 km,"35,000"
"Audi Q5 • 2013 • 280,000 km","16,500"
"Audi A3 Sportback • 2021 • 16,000 km","13,900"
"Audi Q3 • 2020 • 119,000 km","20,900"
"Audi Q5 • 2018 • 133,000 km","16,000"
"Audi TT • 2020 • 37,000 km","18,000"
"Audi RS 5 • 2019 • 69,000 km","38,500"
"Audi Q7 • 2017 • 139,650 km","12,000"
"Audi Q7 • 2016 • 180,000 km","16,900"
"Audi Q5 • 2022 • 14,000 km","33,000"
"Audi Q3 • 2021 • 38,777 km","26,000"
"Audi e-tron • 2021 • 22,000 km","30,000"
"Audi Q5 • 2019 • 39,800 km","24,000"
"Audi A6 Avant • 2022 • 26,000 km","16,000"
"Audi e-tron • 2020 • 50,400 km","26,000"
"Audi Q5 • 2017 • 75,000 km","15,990"
